trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,exp_name,exp_stage,test_part,subjectID,databaseID,counterbal,choice_stimuli_1,choice_stimuli_2,pattern_stimuli,rewarded_answer,correct_answer,feedback_duration_times,stim_left,stim_right,pair,leftright_counter,trial,response_correct,response_rewarded,chosen_stim,counter,displayed_choice,feedback_durations,ITI_duration,labels,prolificID,start_time,date
html-keyboard-response,77,213937,0.0-33.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,78,216247,0.0-34.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,2294.0,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,79,219256,0.0-35.0-0.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_3.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_14.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/choice_trial_12.png"" style=""width: 408px; height: 417px;""></div></div>",,delaylearn,learning,trial,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,2.0,images/choice_trial_14.png,images/choice_trial_12.png,images/pattern_3.png,f,j,7000.0,14.0,12.0,2.0,1.0,15.0,0.0,0.0,0.0,30.0,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,80,220825,0.0-35.0-1.0,,<div style='font-weight: bold; font-size: 75px; color: red;'>Missed Trial <br><br><br><br> Please respond faster</div>,,delaylearn,learning,display_response,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,Missed trial,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,81,221839,0.0-35.0-2.0,,,,delaylearn,learning,feedback_duration_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,0.0,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,82,222843,0.0-35.0-3.0,,,,delaylearn,learning,feedback_image_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,83,225873,0.0-36.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,2183.0,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,84,228906,0.0-37.0-0.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_5.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/choice_trial_9.png"" style=""width: 408px; height: 417px;""></div></div>",,delaylearn,learning,trial,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,2.0,images/choice_trial_2.png,images/choice_trial_9.png,images/pattern_5.png,f,f,750.0,2.0,9.0,4.0,0.0,16.0,0.0,0.0,0.0,30.0,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,85,229922,0.0-37.0-1.0,,<div style='font-weight: bold; font-size: 75px; color: red;'>Missed Trial <br><br><br><br> Please respond faster</div>,,delaylearn,learning,display_response,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,Missed trial,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,86,231056,0.0-37.0-2.0,,,,delaylearn,learning,feedback_duration_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,0.0,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,87,232068,0.0-37.0-3.0,,,,delaylearn,learning,feedback_image_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,88,233076,0.0-38.0-0.0,,,,,,mood_trial_fixation,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
lmdlab-html-vas-response,89,258444,0.0-38.0-1.0,,How happy are you right now?,,delaylearn,learning,mood_trial,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,,"['Very unhappy', 'Very happy']",5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,90,261512,0.0-39.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,2060.0,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,91,264547,0.0-40.0-0.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_6.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_11.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/choice_trial_5.png"" style=""width: 408px; height: 417px;""></div></div>",,delaylearn,learning,trial,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,2.0,images/choice_trial_11.png,images/choice_trial_5.png,images/pattern_6.png,f,f,750.0,11.0,5.0,5.0,0.0,17.0,0.0,0.0,0.0,30.0,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,92,265553,0.0-40.0-1.0,,<div style='font-weight: bold; font-size: 75px; color: red;'>Missed Trial <br><br><br><br> Please respond faster</div>,,delaylearn,learning,display_response,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,Missed trial,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,93,266564,0.0-40.0-2.0,,,,delaylearn,learning,feedback_duration_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,0.0,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,94,267578,0.0-40.0-3.0,,,,delaylearn,learning,feedback_image_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,95,270606,0.0-41.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,2295.0,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,96,273625,0.0-42.0-0.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_4.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_16.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/choice_trial_4.png"" style=""width: 408px; height: 417px;""></div></div>",,delaylearn,learning,trial,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,2.0,images/choice_trial_16.png,images/choice_trial_4.png,images/pattern_4.png,j,j,7000.0,16.0,4.0,3.0,1.0,18.0,0.0,0.0,0.0,30.0,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,97,274634,0.0-42.0-1.0,,<div style='font-weight: bold; font-size: 75px; color: red;'>Missed Trial <br><br><br><br> Please respond faster</div>,,delaylearn,learning,display_response,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,Missed trial,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,98,275648,0.0-42.0-2.0,,,,delaylearn,learning,feedback_duration_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,0.0,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,99,276658,0.0-42.0-3.0,,,,delaylearn,learning,feedback_image_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,100,279684,0.0-43.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,2288.0,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
